"server","url","affiliate_url"
"DEV_GS","http://dev.gamestop.com",
"DEV_EB","http://dev.ebgames.com",
"QA_GS","http://qa.gamestop.com",
"QA2_GS","http://qa2.gamestop.com",
"QA3_GS","http://qa3.gamestop.com",
"QA4_GS","http://qa4.gamestop.com",
"QA_EB","http://qa.ebgames.com",
"QA4_GS","http://qa4.gamestop.com",
"MQA_GS","http://m.qa.gamestop.com",
"MQA2_GS","http://m.qa2.gamestop.com",
"MQA3_GS","http://m.qa3.gamestop.com",
"MQA4_GS","http://m.qa4.gamestop.com",
"QA_CA","http://qa.ebgames.ca",
"MQA_CA","http://m.qa.ebgames.ca",
"QA_M2","http://qa.m2.gamestop.com",
"QA5_M2","http://qa5.m2.gamestop.com",
,,
"CERT_GS","http://cert.gamestop.com",
"PROD_GS","http://www.gamestop.com",
"PROD_EB","http://www.ebgames.com",
,,
"QA_LINK1","http://qa.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001320&type=3&subid=0"
"QA_LINK2","http://qa.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001321&type=3&subid=0"
"QA_EF","http://qa.gamestop.com","http://pixel.everesttech.net/3284/cq?ev_sid=3&ev_cmpid=99999&ev_ln=foo&ev_crx=12345&ev_mt=b&ev_n=s&ev_ltx=&ev_pl=&ev_pos=3&url=http://qa.gamestop.com"
,,
"DEV_GI",,
"DEV_CRM",,
"QA_GI","http://qa.gameinformer.com",
"QA2_GI","http://qa2.gameinformer.com",
"QA_CRM","http://qa.crm.gameinformer.com",
"QA2_CRM","http://qa2.crm.gameinformer.com",
"QA_SPAM","http://qa.spamportal.gameinformer.com",
,,
"PROD_GI","http://gameinformer.com",
"PROD_CRM","http://crm.gameinformer.com",
,,
"QA_PUR","https://qa.gamestop.com/poweruprewards",
