"server","brand","url","affiliate_url"
"DEV_GS","GS","http://dev.gamestop.com",
"QA_GS","GS","http://qa.gamestop.com",
"QA2_GS","GS","http://qa2.gamestop.com",
"QA3_GS","GS","http://qa3.gamestop.com",
"QA4_GS","GS","http://qa4.gamestop.com",
"MQA_GS","MGS","http://m.qa.gamestop.com",
"MQA2_GS","MGS","http://m.qa2.gamestop.com",
"MQA3_GS","MGS","http://m.qa3.gamestop.com",
"MQA4_GS","MGS","http://m.qa4.gamestop.com",
"QA_CA","CA","http://qa.ebgames.ca",
"MQA_CA","CA","http://m.qa.ebgames.ca",
,,,
"CERT_GS","GS","http://cert.gamestop.com",
"PROD_GS","GS","http://www.gamestop.com",
"PROD_EB","EB","http://www.ebgames.com",
,,,
"QA_LINK1","GSLINK","http://qa.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001320&type=3&subid=0"
"QA_LINK2","GSLINK","http://qa.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001321&type=3&subid=0"
"QA_EF","GSEF","http://qa.gamestop.com","http://pixel.everesttech.net/3284/cq?ev_sid=3&ev_cmpid=99999&ev_ln=foo&ev_crx=12345&ev_mt=b&ev_n=s&ev_ltx=&ev_pl=&ev_pos=3&url=http://qa.gamestop.com"
"QA2_LINK1","GSLINK","http://qa2.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001320&type=3&subid=0"
"QA2_LINK2","GSLINK","http://qa2.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001321&type=3&subid=0"
"QA2_EF","GSEF","http://qa2.gamestop.com","http://pixel.everesttech.net/3284/cq?ev_sid=3&ev_cmpid=99999&ev_ln=foo&ev_crx=12345&ev_mt=b&ev_n=s&ev_ltx=&ev_pl=&ev_pos=3&url=http://qa2.gamestop.com"
"QA3_LINK1","GSLINK","http://qa3.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001320&type=3&subid=0"
"QA3_LINK2","GSLINK","http://qa3.gamestop.com","http://click.linksynergy.com/fs-bin/click?id=lMh2Xiq9xN0&offerid=290242.10001321&type=3&subid=0"
"QA3_EF","GSEF","http://qa3.gamestop.com","http://pixel.everesttech.net/3284/cq?ev_sid=3&ev_cmpid=99999&ev_ln=foo&ev_crx=12345&ev_mt=b&ev_n=s&ev_ltx=&ev_pl=&ev_pos=3&url=http://qa3.gamestop.com"
,,,
"DEV_GI","GI",,
"DEV_CRM","GICRM",,
"QA_GI","GI","http://qa.gameinformer.com",
"QA2_GI","GI","http://qa2.gameinformer.com",
"QA_CRM","GICRM","http://qa.crm.gameinformer.com",
"QA2_CRM","GICRM","http://qa2.crm.gameinformer.com",
"QA_SPAM","GISPAM","http://qa.spamportal.gameinformer.com",
,,,
"PROD_GI","GI","http://gameinformer.com",
"PROD_CRM","GICRM","http://crm.gameinformer.com",
